Ed's Office,5.148921,-23.020066
APRIL Lab,-1.896597,-2.053969
Kitchen,24.928665,-8.162724
BBB 3912,-8.118207,-6.675762
BBB 3725,14.741803,-22.182609
Elevator,18.676783,-5.321779
Front Door,10.673047,26.203030
